user,jobdescription
job description for the position of business development manager,"LimeTray is a product-start-up helping restaurants market, engage and sell to more customers online. 6 out of 10 restaurants shut down in less than a year of starting up & this is not because they serve bad food or are expensive but because they fail to reach out to enough customers to cover costs. With its data driven products and services, LimeTray makes it easier for such restaurants to tap the customer base that now lives online. LimeTray has been one of the fastest growing start-ups in India, and is present Pan India in cities like Delhi, Bangalore, Hyderabad, Mumbai, Navi Mumbai, Pune, Chennai, Ahmedabad, Chandigarh, Jaipur and other cities; in the period of only 2 years and 6 months; with around 250+ employees all over India. Our founding team consists of ISB, NSIT alumni with strong-domain knowledge having built one of the largest online food ordering portal before and we count very successful internet entrepreneurs as our angel investors & advisors. We are also backed by Matrix Partners, one of the top 5 VC firms in India. When you work with us, you work with a peer group that comprises of people who have previously worked at companies like McKinsey & Company, JP Morgan, Bain & Company, Zomato, FoodPanda and Rocket Internet We manage a 1200+ clientele which includes Big Brands like Burger King, Subway, Brekkie, MK Dabbawala, Krispe Kreme, Tummy Kart, Leopold Cafe, Kaati Zone, Rolls on Wheels, Bhukkad, Beijing Bites, The Chocolate Room, Calvins, Khan Saheb, Night Panda, Tikki TIkki, and many more. We at LimeTray believe in the power of Hustle, Hunger and Ambition. We are excited to face new challenges to further explore our potential and think beyond. Everyone in the team hence has a very high sense of ownership & is given a lot of responsibilities. So, now we are looking for energetic, self motivated and passionate people who can join us quick and get the magic started Responsibilities - Personally contact and secure new business accounts/orders through a relationship-based approach. - Demonstrate products and services to existing and potential customers and assist them in selecting those best suited to their needs. - Achieve maximum sales profitability, growth and account penetration within an assigned Territory and/or market segment by effectively selling the company's products and services. Skill Set - We're looking for people who enjoy selling - Courageous, competitive and hungry folk who like to go out, meet people & are able to strike conversations easily - Confidence, diligence and the ability to persevere are key skills - Excellent Communication skills What we offer - Competitive Compensation package - Challenging career path with huge growth opportunities across functions and geographies for high performers - A workplace where you can create a huge impact Salary: Not Disclosed by Recruiter Industry: FMCG / Foods / Beverage Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales/Business Development Manager Keyskills Business Development Management Sales Selling Profitability New Business Communication Skills Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required Company Profile: Premium LimeTray is a product-startup helping restaurants market, engage and sell to more customers online. 6 out of 10 restaurants shut down in less than an year of starting up & this is not because they serve bad food or are expensive but because they fail to reach out to enough customers to cover costs. Download PPT Photo 1  View Contact Details"
job description for the position of opening for android developer bangalore yrs,"Greetings from Convate...!!!! We are glad to inform your regarding an opening for Android developers for Retail/E-commerce domain client. Role: Android Developer Location: Bangalore, India Experience: 4-8 years Role Responsibilities : Experience in Android Application development. Experience in Native Android,Android Studio. Knowledge in Xamarin Android Application development. Experience with Core Java Deep understanding of technology with good hands-on experience on App development. Debugging highly complex modules developed by other team members. Experience in Retail, E-Commerce and Security domains. If your profile is suitable for below description pls share the updated CV with details. If interested please send the resume to ct5@convate.com, ct14@convate.com, ct8@convate.com Thanks & regards, Naga Krishna jyothi Assistant Recruitment Specialist CONVATE # 41, Old Airport Road, Murgeshpalya, Bangalore 560017 (Above Spencers, Opp. Total Mall) P: +91-80-40609691 Skype Id : convate.ct5 Mail: ct5@convate.com Web: http://www.convate.com Join us on: www.facebook.com/convate Continuous Innovation in Human Resources Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Android Android NDK Core Java Xamarin Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Company Profile: Convate Retail/e-commerce domain Convate is a leading Human Resource Consulting Organization. provide Staffing solutions and Consulting services in diverse Industry segments across Management functions. We Provide services for Fortune 500 and CMM level Companies. Been in the Permanent and contract staffing for the past 11 years. Our Clients are our partners: we act together to solve their immediate and long-term business goals. We listen to their unique situation and then we work to find a solution. (www.convate.com) Download PPT Photo 1  View Contact Details"
job description for the position of full stack web application php developer,"We are looking for a skilled and passionate Full Stack (PHP) Developer. You should have 2+ years of experience working with multiple architectures and coding languages (front-end & back-end technologies). Apply now. Salary:INR 1,75,000 - 2,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Graphic/Web Designer Keyskills Web Technologies Web Application Full Stack Application Developer full stack web developer Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Sinai Global Works on IT services related to Logistics Download PPT Photo 1  View Contact Details"
job description for the position of looking for an application engineer fpga,"* HDL (VHDL / Verilog) Code Generation and Verification * Prototyping and Implementing Designs on FPGAs * Signal Processing and Communication System Design * Computer Vision and Image Processing System Design Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Other Role Category:Programming & Design Role:Software Developer Keyskills Verilog Hdl Simulation modelling HDL Code FPGA verilog Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization Doctorate:Doctorate Not Required Company Profile: Mathematical Computing Software Company The Company is a $800M company that employs over 3,000 employees worldwide. It is a leading developer of mathematical computing software, Engineers and scientists worldwide rely on its products to accelerate the pace of discovery, innovation, and dev Download PPT Photo 1  View Contact Details"
job description for the position of revenue assurance,"Responsibilities Manage day-to-day activities of a data center, including physical and security checks, physical tape/ media management, assistance with physical vendor intervention (e.g. replacement of a part), act as remote hands for the administrator Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Other Role:Outside Consultant Keyskills data center revenue assurance media management activities administrator Desired Candidate Profile  Education- UG: Any Graduate - Any Specialization PG:MBA/PGDM - Finance, Any Postgraduate Company Profile: Accenture Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functionsunderpinned by the worlds largest delivery networkAccenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With approximately 373,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com Download PPT Photo 1  View Contact Details"
job description for the position of senior java full stack developer java spring ,"Senior Java Full Stack Developer - Java/ Spring 4 @ Bangalore, India Our client is an IT Company focused on Healthcare domain. They need to fill the following position asap. Position : Senior Java Full Stack Developer - Java/ Spring 4 ( Total 2 positions ). Should be able to join immediately or within 15 days max. Education : Engg/ BCA/ MCA/ Equivalent Experience : 5 Years Location : Bangalore Compensation : Competitive and commensurate with candidate caliber and experience Role - Responsibilities and Desired Profile : 1. Candidate should have these skills: Object Oriented Paradigm, Java, Spring 4 (Core, MVC, JDBC, Security), Java Web sockets, Java Cryptography Extension, Apache Commons (Codec, Collections, FileUpload, Compressor), Jersey, JSP, JSTL, NodeJS, Javascript / J-Query, Oracle, DevOps, Unit Testing 2. Should be a good team player and good on verbal and written communication Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills JSTL Java JDBC JSP Spring Javascript JQuery MVC Oracle Web Technologies Desired Candidate Profile Basic/UG Qualification:B Tech or equivalent Education- UG: B.Tech/B.E. - Any Specialization, BCA - Computers PG:MCA - Computers Doctorate:Doctorate Not Required Company Profile: PKS & Associates Client of PKS & Associates Download PPT Photo 1  View Contact Details"
job description for the position of data entry executive,"1. High typing speed 2. Excellent English communication 3. Excellent knowledge of Microsoft office and in particular Excel 4. Should know Excel macros & commands 5. Low error rate while typing 6. Should be able to meet / exceed targets every day Salary:INR 1,00,000 - 2,00,000 P.A. incentives for achieving targets Industry: Recruitment / Staffing Functional Area: Executive Assistant , Front Office , Data Entry Role Category:Other Role:Stenographer/Data Entry Operator Keyskills Excel MS Office Typing Macros Data Entry data processing Desired Candidate Profile 1. Confident2. Hardworking3. Punctual4. Follow process5. Low errors during documentation Company Profile: SMACera Technologies Consulting and Services Pvt L Smacera Technologies SMACera Technologies is a Bangalore based recruitment and staffing firm started in Jul 2013 Download PPT Photo 1  View Contact Details"
job description for the position of php developer_banashankari ii stage,"(2-3 years experience) Extensive development exposure in PHP, HTML, CSS, JavaScript, Jquery, HMVC * Ajax,Psd to Html, Parallax, Photoshop skills will be added advantage * Minimum SQL knowledge is important * Very good in php code Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Other Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript JQuery CSS Ajax PHP PSD Photoshop SQL sql server Desired Candidate Profile Please refer to the Job description above Company Profile: Janak Vidya Consultancy Pvt. Ltd. About Web Advisor Web Advisor is a total Solutions Provider assisting companies with Web Development, Software Development, Web Application, internet presence, e-commerce Development etc. Founded in 2008 Download PPT Photo 1  View Contact Details"
job description for the position of bluetooth host software development engineer automotive infotainment,Bluetooth Host Software Development - Automotive Infotainment Products Notice Period : Max 30 days - 2-10 years of relevant industry work experience - Excellent C programming skills - Understanding of Bluetooth specifications and extensive Bluetooth Profiles development experience. - Familiarity with Python and Perl scripting. - Experience on Automotive infotainment products based on Android or QnX Experience. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Mobile Role Category:Programming & Design Role:Software Developer Keyskills C Perl Python Android Bluetooth QNX Software Development Bluetooth Host Bluetooth Profiles development Desired Candidate Profile  Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: Strivex Consulting Pvt Ltd leading client of Strivex Consulting Pvt Ltd Download PPT Photo 1  View Contact Details
job description for the position of e commerce executive,"Good communication skills (e.g. written, verbal, presentation); Developing mentoring and coaching skills. Good knowledge on Microsoft Office tools (Word, Excel) Basic Knowledge in E-commerce industry (transaction processing) Flexible to night shift as well 2 way Cab Facility Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Back Office/Web/Transaction Processing Role:Associate/Senior Associate -(NonTechnical) Keyskills Transaction Processing E - Commerce Executive Desired Candidate Profile  Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Magna Infotech Pvt Ltd Magna Infotech Pvt Ltd Download PPT Photo 1  View Contact Details"
job description for the position of analytics,"Deliver high-quality training to audiences using a variety of media types. Provide course and learner feedback to key stakeholders. Maintain the highest level of expertise in the area of specialty and interact with subject matter experts in new course development. Monitor the quality and effectiveness of the learning environment and outcomes, including classroom, courseware/ curriculum and instructor readiness, and prepare internal faculty members to conduct sessions. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Training Role:Soft Skills Trainer Keyskills development analytics training feedback level learner area deliver environment internal Desired Candidate Profile  Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Company Profile: Accenture Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functionsunderpinned by the worlds largest delivery networkAccenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With approximately 373,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com Download PPT Photo 1  View Contact Details"
